hhidpn,hhidpn_padded,hhid,pn,respondent_type_w8,respondent_type_w9,respondent_type_w10,respondent_type_w11,respondent_type_w12,respondent_type_w13,lb_record_present_w8,who_answered_raw_w8,lb_rtype_raw_w8,lb_eligible_raw_w8,lb_completion_mode_raw_w8,lb_record_present_w9,who_answered_raw_w9,lb_rtype_raw_w9,lb_eligible_raw_w9,lb_completion_mode_raw_w9,lb_record_present_w10,who_answered_raw_w10,lb_rtype_raw_w10,lb_eligible_raw_w10,lb_completion_mode_raw_w10,lb_record_present_w11,who_answered_raw_w11,lb_rtype_raw_w11,lb_eligible_raw_w11,lb_completion_mode_raw_w11,lb_record_present_w12,who_answered_raw_w12,lb_rtype_raw_w12,lb_eligible_raw_w12,lb_completion_mode_raw_w12,lb_record_present_w13,who_answered_raw_w13,lb_rtype_raw_w13,lb_eligible_raw_w13,lb_completion_mode_raw_w13,n_lb_wave_records,n_respondent_type_observed,n_code1_waves,n_code2_waves,first_lb_wave,last_lb_wave
23801010,023801010,023801,010,,1,,,,,1,,1,5,,1,1,4,1,1,1,,1,5,,1,,4,1,1,0,,,,,0,,,,,4,1,1,0,8,11
23801011,023801011,023801,011,,1,,,,,1,,1,5,,1,1,4,1,1,1,,1,5,,1,,4,1,5,0,,,,,0,,,,,4,1,1,0,8,11
23807020,023807020,023807,020,,1,,1,,,1,,1,5,,1,1,4,1,1,1,,1,5,,1,1,4,1,1,1,,1,5,,0,,,,,5,2,2,0,8,12
23807030,023807030,023807,030,,1,,1,,,1,,1,5,,1,1,4,1,1,1,,1,5,,1,1,4,1,1,1,,1,5,,1,,4,1,5,6,2,2,0,8,13
23817010,023817010,023817,010,1,,1,,,,1,1,4,1,1,1,,1,5,,1,1,4,1,1,1,,1,5,,1,,4,1,5,1,,1,5,,6,2,2,0,8,13
23827010,023827010,023827,010,1,,,,,,1,1,4,1,1,1,,1,5,,1,,4,1,5,1,,1,5,,1,,4,1,5,1,,1,5,,6,1,1,0,8,13
23827040,023827040,023827,040,1,,2,,,,1,1,4,1,1,1,,1,5,,1,2,4,1,1,1,,1,5,,1,,4,1,5,1,,1,5,,6,2,1,1,8,13
23830010,023830010,023830,010,,1,,,,,1,,1,5,,1,1,4,1,1,1,,1,5,,1,,4,1,1,1,,1,5,,1,,4,1,5,6,1,1,0,8,13
23831010,023831010,023831,010,,2,,1,,,1,,1,5,,1,2,4,1,1,1,,1,5,,1,1,4,1,1,1,,1,5,,1,,4,1,5,6,2,1,1,8,13
23831040,023831040,023831,040,,1,,1,,1,1,,1,5,,1,1,4,1,1,1,,1,5,,1,1,4,1,1,1,,1,5,,1,1,4,1,1,6,3,3,0,8,13
23844010,023844010,023844,010,1,,1,,1,,1,1,4,1,1,1,,1,5,,1,1,4,1,1,1,,1,5,,1,1,4,1,1,1,,1,5,,6,3,3,0,8,13
23876010,023876010,023876,010,1,,1,,1,,1,1,4,1,1,1,,1,5,,1,1,2,1,1,1,,1,5,,1,1,4,1,1,1,,1,5,,6,3,3,0,8,13
23884010,023884010,023884,010,1,,,,,,1,1,4,1,1,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,1,1,1,0,8,8
23884040,023884040,023884,040,1,,1,,,,1,1,4,1,1,1,,1,5,,1,1,4,1,1,1,,1,5,,0,,,,,0,,,,,4,2,2,0,8,11
23886010,023886010,023886,010,,,1,,,,1,,4,1,1,1,,1,5,,1,1,4,1,1,1,,1,5,,1,,4,1,1,1,,1,5,,6,1,1,0,8,13
23886020,023886020,023886,020,,,1,,,,1,,4,1,1,1,,1,5,,1,1,4,1,1,1,,1,5,,1,,4,1,1,1,,1,5,,6,1,1,0,8,13
23899010,023899010,023899,010,,,,,,,1,,4,1,5,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,1,0,0,0,8,8
23899020,023899020,023899,020,,,,,,,1,,4,1,5,0,,,,,0,,,,,0,,,,,1,,2,1,5,0,,,,,2,0,0,0,8,12
23901010,023901010,023901,010,,1,,,,,1,,1,5,,1,1,4,1,1,0,,,,,0,,,,,0,,,,,0,,,,,2,1,1,0,8,9
23913010,023913010,023913,010,1,,2,,1,,1,1,4,1,1,1,,1,5,,1,2,4,1,1,1,,1,5,,1,1,4,1,1,0,,,,,5,3,2,1,8,12
23919010,023919010,023919,010,1,,1,,1,,1,1,4,1,1,1,,1,5,,1,1,4,1,1,1,,1,5,,1,1,4,1,1,1,,1,5,,6,3,3,0,8,13
23923020,023923020,023923,020,,,1,,1,,1,,2,5,,1,,1,5,,1,1,4,1,1,1,,1,5,,1,1,4,1,1,0,,,,,5,2,2,0,8,12
23942010,023942010,023942,010,1,,,,,,1,1,4,1,1,1,,1,5,,1,,4,1,5,1,,1,5,,0,,,,,0,,,,,4,1,1,0,8,11
23942011,023942011,023942,011,1,,,,,,1,1,4,1,1,1,,1,5,,1,,4,1,5,1,,1,5,,0,,,,,0,,,,,4,1,1,0,8,11
23965020,023965020,023965,020,1,,1,,1,,1,1,4,1,1,1,,1,5,,1,1,4,1,1,1,,1,5,,1,1,4,1,1,1,,1,5,,6,3,3,0,8,13
23965021,023965021,023965,021,,,,,1,,0,,,,,0,,,,,0,,,,,0,,,,,1,1,4,1,1,1,,1,5,,2,1,1,0,12,13
23967010,023967010,023967,010,,1,,,,,1,,1,5,,1,1,2,1,1,1,,1,5,,1,,4,1,1,1,,1,5,,1,,2,1,5,6,1,1,0,8,13
23967011,023967011,023967,011,,,,,,,1,,1,5,,1,,2,1,5,1,,1,5,,1,,2,1,5,1,,1,5,,1,,2,1,5,6,0,0,0,8,13
23967040,023967040,023967,040,,,,,,,1,,1,5,,1,,2,1,5,1,,1,5,,1,,4,1,5,1,,1,5,,1,,2,1,5,6,0,0,0,8,13
23981010,023981010,023981,010,,,,,,,1,,3,1,5,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,1,0,0,0,8,8
24005010,024005010,024005,010,,,,,,,1,,2,5,,1,,1,5,,0,,,,,0,,,,,0,,,,,0,,,,,2,0,0,0,8,9
24014010,024014010,024014,010,1,,1,,1,,1,1,4,1,1,1,,1,5,,1,1,4,1,1,1,,1,5,,1,1,4,1,1,1,,1,5,,6,3,3,0,8,13
24014040,024014040,024014,040,1,,1,,1,,1,1,4,1,1,1,,1,5,,1,1,4,1,1,1,,1,5,,1,1,4,1,1,1,,1,5,,6,3,3,0,8,13
24024010,024024010,024024,010,,1,,,,1,1,,1,5,,1,1,4,1,1,1,,1,5,,1,,2,1,5,1,,1,5,,1,1,4,1,1,6,2,2,0,8,13
24039020,024039020,024039,020,,1,,1,,,1,,1,5,,1,1,4,1,1,1,,1,5,,1,1,4,1,1,1,,1,5,,1,,2,1,5,6,2,2,0,8,13
24040011,024040011,024040,011,,1,,1,,,1,,1,5,,1,1,2,1,1,1,,1,5,,1,1,4,1,1,1,,1,5,,1,,2,1,5,6,2,2,0,8,13
24050020,024050020,024050,020,,1,,,,,1,,1,5,,1,1,2,1,1,0,,,,,0,,,,,0,,,,,0,,,,,2,1,1,0,8,9
24050030,024050030,024050,030,,1,,1,,,1,,1,5,,1,1,2,1,1,0,,,,,1,1,2,1,1,0,,,,,0,,,,,3,2,2,0,8,11
24055010,024055010,024055,010,,1,,1,,,1,,1,5,,1,1,2,1,1,1,,1,5,,1,1,4,1,1,1,,1,5,,1,,2,1,5,6,2,2,0,8,13
24055040,024055040,024055,040,,1,,1,,1,1,,1,5,,1,1,4,1,1,1,,1,5,,1,1,4,1,1,1,,1,5,,1,1,4,1,1,6,3,3,0,8,13
24056010,024056010,024056,010,,1,,,,,1,,1,5,,1,1,4,1,1,1,,1,5,,1,,4,1,5,1,,1,5,,1,,2,1,5,6,1,1,0,8,13
24056020,024056020,024056,020,,1,,,,,1,,1,5,,1,1,4,1,1,1,,1,5,,0,,,,,0,,,,,0,,,,,3,1,1,0,8,10
24058010,024058010,024058,010,,1,,,,,1,,1,5,,1,1,4,1,1,1,,1,5,,1,,4,1,1,1,,1,5,,0,,,,,5,1,1,0,8,12
24058011,024058011,024058,011,,1,,1,,1,1,,1,5,,1,1,4,1,1,1,,1,5,,1,1,4,1,1,1,,1,5,,1,1,4,1,1,6,3,3,0,8,13
24061010,024061010,024061,010,1,,,,,,1,1,4,1,1,1,,1,5,,0,,,,,0,,,,,0,,,,,0,,,,,2,1,1,0,8,9
24065010,024065010,024065,010,,1,,1,,,1,,1,5,,1,1,4,1,1,1,,1,5,,1,1,4,1,1,1,,1,5,,1,,4,1,5,6,2,2,0,8,13
24065040,024065040,024065,040,,1,,1,,1,1,,1,5,,1,1,4,1,1,1,,1,5,,1,1,4,1,1,1,,1,5,,1,1,4,1,1,6,3,3,0,8,13
24075010,024075010,024075,010,1,,1,,1,,1,1,4,1,1,1,,1,5,,1,1,4,1,1,1,,1,5,,1,1,4,1,1,1,,1,5,,6,3,3,0,8,13
24075012,024075012,024075,012,1,,1,,1,,1,1,4,1,1,1,,1,5,,1,1,4,1,1,1,,1,5,,1,1,4,1,1,1,,1,5,,6,3,3,0,8,13
24077010,024077010,024077,010,1,,1,,1,,1,1,4,1,1,1,,1,5,,1,1,4,1,1,1,,1,5,,1,1,4,1,1,1,,1,5,,6,3,3,0,8,13
24078010,024078010,024078,010,,1,,1,,,1,,1,5,,1,1,4,1,1,1,,1,5,,1,1,2,1,1,1,,1,5,,0,,,,,5,2,2,0,8,12
24089020,024089020,024089,020,1,,1,,1,,1,1,4,1,1,1,,1,5,,1,1,2,1,1,1,,1,5,,1,1,4,1,1,1,,1,5,,6,3,3,0,8,13
24103010,024103010,024103,010,1,,1,,1,,1,1,4,1,1,1,,1,5,,1,1,4,1,1,1,,1,5,,1,1,4,1,1,1,,1,5,,6,3,3,0,8,13
24103020,024103020,024103,020,1,,1,,1,,1,1,4,1,1,1,,1,5,,1,1,4,1,1,1,,1,5,,1,1,4,1,1,1,,1,5,,6,3,3,0,8,13
24107010,024107010,024107,010,,,1,,1,,0,,,,,1,,1,5,,1,1,4,1,1,1,,1,5,,1,1,4,1,1,0,,,,,4,2,2,0,9,12
24109010,024109010,024109,010,,1,,,,1,1,,1,5,,1,1,4,1,1,1,,1,5,,1,,4,1,1,1,,1,5,,1,1,4,1,1,6,2,2,0,8,13
24109040,024109040,024109,040,,1,,,,1,1,,1,5,,1,1,4,1,1,1,,1,5,,1,,4,1,1,1,,1,5,,1,1,4,1,1,6,2,2,0,8,13
24132010,024132010,024132,010,,,1,,2,,1,,4,1,1,1,,1,5,,1,1,4,1,1,1,,1,5,,1,2,4,1,1,1,,1,5,,6,2,1,1,8,13
24132020,024132020,024132,020,1,,2,,2,,1,1,4,1,1,1,,1,5,,1,2,4,1,1,1,,1,5,,1,2,4,1,1,1,,1,5,,6,3,1,2,8,13
24161010,024161010,024161,010,1,,1,,1,,1,1,4,1,1,1,,1,5,,1,1,4,1,1,1,,1,5,,1,1,4,1,1,0,,,,,5,3,3,0,8,12
24168010,024168010,024168,010,1,,1,,1,,1,1,4,1,1,1,,1,5,,1,1,4,1,1,1,,1,5,,1,1,4,1,1,1,,1,5,,6,3,3,0,8,13
24187010,024187010,024187,010,,1,,1,,1,1,,1,5,,1,1,4,1,1,1,,1,5,,1,1,4,1,1,1,,1,5,,1,1,4,1,1,6,3,3,0,8,13
24187020,024187020,024187,020,,1,,1,,1,1,,1,5,,1,1,4,1,1,1,,1,5,,1,1,4,1,1,1,,1,5,,1,1,4,1,1,6,3,3,0,8,13
24218010,024218010,024218,010,,,,,,,1,,2,5,,1,,1,5,,1,,4,1,5,1,,1,5,,1,,4,1,1,0,,,,,5,0,0,0,8,12
24218040,024218040,024218,040,,,,,,,1,,2,5,,1,,1,5,,1,,3,1,5,0,,,,,0,,,,,0,,,,,3,0,0,0,8,10
24231010,024231010,024231,010,,1,,1,,1,1,,1,5,,1,1,4,1,1,1,,1,5,,1,1,4,1,1,1,,1,5,,1,1,4,1,1,6,3,3,0,8,13
24231020,024231020,024231,020,,1,,1,,1,1,,1,5,,1,1,4,1,1,1,,1,5,,1,1,4,1,1,1,,1,5,,1,1,4,1,1,6,3,3,0,8,13
24238010,024238010,024238,010,,,,,1,,0,,,,,1,,1,5,,1,,2,1,5,1,,1,5,,1,1,2,1,1,1,,1,5,,5,1,1,0,9,13
24238020,024238020,024238,020,,,1,,1,,0,,,,,1,,1,5,,1,1,2,1,1,1,,1,5,,1,1,2,1,1,1,,1,5,,5,2,2,0,9,13
24240010,024240010,024240,010,1,,1,,,,1,1,4,1,1,1,,1,5,,1,1,4,1,1,0,,,,,0,,,,,0,,,,,3,2,2,0,8,10
24240020,024240020,024240,020,1,,1,,,,1,1,4,1,1,1,,1,5,,1,1,4,1,1,1,,1,5,,0,,,,,0,,,,,4,2,2,0,8,11
24249020,024249020,024249,020,,1,,,,1,1,,1,5,,1,1,4,1,1,1,,1,5,,1,,4,1,5,1,,1,5,,1,1,4,1,1,6,2,2,0,8,13
24249030,024249030,024249,030,,1,,,,,1,,1,5,,1,1,4,1,1,1,,1,5,,0,,,,,0,,,,,0,,,,,3,1,1,0,8,10
24274010,024274010,024274,010,,1,,1,,1,1,,1,5,,1,1,4,1,1,1,,1,5,,1,1,4,1,1,1,,1,5,,1,1,4,1,1,6,3,3,0,8,13
24274040,024274040,024274,040,,2,,,,,1,,1,5,,1,2,4,1,1,1,,1,5,,0,,,,,0,,,,,0,,,,,3,1,0,1,8,10
24280030,024280030,024280,030,,1,,1,,1,1,,1,5,,1,1,4,1,1,1,,1,5,,1,1,4,1,1,1,,1,5,,1,1,4,1,1,6,3,3,0,8,13
24333040,024333040,024333,040,1,,1,,1,,1,1,4,1,1,1,,1,5,,1,1,4,1,1,1,,1,5,,1,1,4,1,1,1,,1,5,,6,3,3,0,8,13
24338020,024338020,024338,020,1,,,,,,1,1,4,1,1,1,,1,5,,0,,,,,0,,,,,0,,,,,0,,,,,2,1,1,0,8,9
24341010,024341010,024341,010,,1,,1,,,1,,1,5,,1,1,4,1,1,1,,1,5,,1,1,4,1,1,1,,1,5,,1,,2,1,5,6,2,2,0,8,13
24366010,024366010,024366,010,,1,,1,,1,0,,,,,1,1,4,1,1,1,,1,5,,1,1,4,1,1,1,,1,5,,1,1,4,1,1,5,3,3,0,9,13
24366011,024366011,024366,011,,,,1,,,0,,,,,1,,4,1,5,1,,1,5,,1,1,4,1,1,1,,1,5,,1,,2,1,5,5,1,1,0,9,13
24382010,024382010,024382,010,,1,,1,,,1,,1,5,,1,1,4,1,1,1,,1,5,,1,1,4,1,1,1,,1,5,,1,,2,1,5,6,2,2,0,8,13
24397010,024397010,024397,010,,,,,,,1,,1,5,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,1,0,0,0,8,8
24397040,024397040,024397,040,,,,,,,1,,1,5,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,1,0,0,0,8,8
24400020,024400020,024400,020,,,1,,1,,1,,4,1,1,1,,1,5,,1,1,4,1,1,1,,1,5,,1,1,4,1,1,1,,1,5,,6,2,2,0,8,13
24403020,024403020,024403,020,,,,,,,0,,,,,0,,,,,1,,1,5,,1,,2,1,1,1,,1,5,,1,,2,1,5,4,0,0,0,10,13
24407010,024407010,024407,010,1,,1,,1,,1,1,4,1,1,1,,1,5,,1,1,4,1,1,1,,1,5,,1,1,4,1,1,1,,1,5,,6,3,3,0,8,13
24407011,024407011,024407,011,1,,,,,,1,1,4,1,1,1,,1,5,,1,,4,1,5,1,,1,5,,0,,,,,0,,,,,4,1,1,0,8,11
24412040,024412040,024412,040,,2,,,,,0,,,,,1,2,2,1,1,1,,1,5,,0,,,,,0,,,,,0,,,,,2,1,0,1,9,10
24416010,024416010,024416,010,1,,1,,1,,1,1,4,1,1,1,,1,5,,1,1,4,1,1,1,,1,5,,1,1,4,1,1,1,,1,5,,6,3,3,0,8,13
24416020,024416020,024416,020,1,,1,,1,,1,1,4,1,1,1,,1,5,,1,1,4,1,1,1,,1,5,,1,1,4,1,1,1,,1,5,,6,3,3,0,8,13
24417010,024417010,024417,010,1,,1,,1,,1,1,4,1,1,1,,1,5,,1,1,4,1,1,1,,1,5,,1,1,4,1,1,1,,1,5,,6,3,3,0,8,13
24417020,024417020,024417,020,1,,1,,1,,1,1,4,1,1,1,,1,5,,1,1,4,1,1,1,,1,5,,1,1,4,1,1,1,,1,5,,6,3,3,0,8,13
24420010,024420010,024420,010,1,,1,,1,,1,1,4,1,1,1,,1,5,,1,1,4,1,1,1,,1,5,,1,1,4,1,1,1,,1,5,,6,3,3,0,8,13
24420020,024420020,024420,020,1,,1,,1,,1,1,4,1,1,1,,1,5,,1,1,4,1,1,1,,1,5,,1,1,4,1,1,1,,1,5,,6,3,3,0,8,13
24440010,024440010,024440,010,,1,,1,,1,1,,1,5,,1,1,4,1,1,1,,1,5,,1,1,4,1,1,1,,1,5,,1,1,4,1,1,6,3,3,0,8,13
24443010,024443010,024443,010,,1,,1,,,1,,1,5,,1,1,4,1,1,1,,1,5,,1,1,4,1,1,0,,,,,0,,,,,4,2,2,0,8,11
24443040,024443040,024443,040,,,,,,,1,,1,5,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,1,0,0,0,8,8
24500020,024500020,024500,020,1,,1,,1,1,1,1,4,1,1,1,,1,5,,1,1,4,1,1,1,,1,5,,1,1,4,1,1,1,1,1,5,1,6,4,4,0,8,13
24500030,024500030,024500,030,1,,1,,,,1,1,3,1,1,0,,,,,1,1,3,1,1,0,,,,,0,,,,,0,,,,,2,2,2,0,8,10
24511010,024511010,024511,010,,1,,,,,1,,1,5,,1,1,4,1,1,0,,,,,0,,,,,0,,,,,0,,,,,2,1,1,0,8,9
24528010,024528010,024528,010,,,,,,,1,,1,5,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,1,0,0,0,8,8
24528040,024528040,024528,040,,,,,,,1,,1,5,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,1,0,0,0,8,8
24539010,024539010,024539,010,,1,,,,1,1,,1,5,,1,1,4,1,1,1,,1,5,,1,,4,1,1,1,,1,5,,1,1,4,1,1,6,2,2,0,8,13
24539011,024539011,024539,011,,1,,1,,1,1,,1,5,,1,1,4,1,1,1,,1,5,,1,1,4,1,1,1,,1,5,,1,1,4,1,1,6,3,3,0,8,13
24548010,024548010,024548,010,,,,,,,1,,2,5,,1,,1,5,,1,,3,1,5,0,,,,,0,,,,,0,,,,,3,0,0,0,8,10
24551010,024551010,024551,010,1,,2,,1,,1,1,4,1,1,1,,1,5,,1,2,4,1,1,1,,1,5,,1,1,4,1,1,0,,,,,5,3,2,1,8,12
24555010,024555010,024555,010,,,1,,1,,0,,,,,1,,1,5,,1,1,4,1,1,0,,,,,1,1,4,1,1,1,,1,5,,4,2,2,0,9,13
24555040,024555040,024555,040,,,1,,1,,0,,,,,1,,1,5,,1,1,4,1,1,0,,,,,1,1,4,1,1,1,,1,5,,4,2,2,0,9,13
24563010,024563010,024563,010,,1,,,,,1,,1,5,,1,1,4,1,1,1,,1,5,,1,,4,1,5,1,,1,5,,1,,4,1,5,6,1,1,0,8,13
24577010,024577010,024577,010,,1,,,,,1,,1,5,,1,1,4,1,1,1,,1,5,,1,,4,1,1,1,,1,5,,0,,,,,5,1,1,0,8,12
24577020,024577020,024577,020,,1,,1,,,1,,1,5,,1,1,4,1,1,1,,1,5,,1,1,4,1,1,1,,1,5,,1,,2,1,5,6,2,2,0,8,13
24582010,024582010,024582,010,1,,1,,1,,1,1,4,1,1,1,,1,5,,1,1,4,1,1,1,,1,5,,1,1,4,1,1,1,,1,5,,6,3,3,0,8,13
24582040,024582040,024582,040,1,,1,,1,,1,1,4,1,1,1,,1,5,,1,1,4,1,1,1,,1,5,,1,1,4,1,1,1,,1,5,,6,3,3,0,8,13
24597020,024597020,024597,020,,,,,,,0,,,,,1,,1,5,,0,,,,,0,,,,,0,,,,,0,,,,,1,0,0,0,9,9
24650020,024650020,024650,020,1,,1,,1,,1,1,4,1,1,1,,1,5,,1,1,4,1,1,1,,1,5,,1,1,4,1,1,1,,1,5,,6,3,3,0,8,13
24650030,024650030,024650,030,1,,1,,1,,1,1,4,1,1,1,,1,5,,1,1,4,1,1,1,,1,5,,1,1,4,1,1,1,,1,5,,6,3,3,0,8,13
24684011,024684011,024684,011,,,1,,1,,1,,2,5,,1,,1,5,,1,1,4,1,1,1,,1,5,,1,1,4,1,1,1,,1,5,,6,2,2,0,8,13
24684040,024684040,024684,040,,,1,,1,,1,,2,5,,1,,1,5,,1,1,4,1,1,1,,1,5,,1,1,4,1,1,1,,1,5,,6,2,2,0,8,13
24684041,024684041,024684,041,1,,1,,1,,1,1,4,1,1,1,,1,5,,1,1,4,1,1,1,,1,5,,1,1,4,1,1,1,,1,5,,6,3,3,0,8,13
24697020,024697020,024697,020,,1,,1,,1,1,,1,5,,1,1,4,1,1,1,,1,5,,1,1,2,1,1,1,,1,5,,1,1,4,1,1,6,3,3,0,8,13
24734010,024734010,024734,010,,1,,1,,,1,,1,5,,1,1,4,1,1,1,,1,5,,1,1,4,1,1,1,,1,5,,0,,,,,5,2,2,0,8,12
24741010,024741010,024741,010,,1,,,,,1,,1,5,,1,1,4,1,1,1,,1,5,,1,,4,1,5,1,,1,5,,0,,,,,5,1,1,0,8,12
24741011,024741011,024741,011,,,,,,,1,,1,5,,1,,4,1,5,1,,1,5,,1,,4,1,5,1,,1,5,,1,,4,1,5,6,0,0,0,8,13
24753020,024753020,024753,020,1,,1,,1,,1,1,4,1,1,1,,1,5,,1,1,4,1,1,1,,1,5,,1,1,4,1,1,1,,1,5,,6,3,3,0,8,13
24753030,024753030,024753,030,1,,1,,,,1,1,4,1,1,1,,1,5,,1,1,4,1,1,0,,,,,0,,,,,0,,,,,3,2,2,0,8,10
24769010,024769010,024769,010,,1,,,,1,1,,1,5,,1,1,4,1,1,1,,1,5,,1,,4,1,1,1,,1,5,,1,1,4,1,1,6,2,2,0,8,13
24769020,024769020,024769,020,,1,,,,1,1,,1,5,,1,1,4,1,1,1,,1,5,,1,,4,1,1,1,,1,5,,1,1,4,1,1,6,2,2,0,8,13
24838010,024838010,024838,010,,1,,1,,,1,,1,5,,1,1,4,1,1,1,,1,5,,1,1,4,1,1,1,,1,5,,1,,4,1,5,6,2,2,0,8,13
24838040,024838040,024838,040,,1,,1,,,1,,1,5,,1,1,4,1,1,1,,1,5,,1,1,4,1,1,1,,1,5,,1,,4,1,5,6,2,2,0,8,13
24843010,024843010,024843,010,,1,,,,,1,,1,5,,1,1,4,1,1,1,,1,5,,1,,4,1,1,1,,1,5,,0,,,,,5,1,1,0,8,12
24843040,024843040,024843,040,,1,,1,,,1,,1,5,,1,1,4,1,1,1,,1,5,,1,1,4,1,1,1,,1,5,,0,,,,,5,2,2,0,8,12
24880010,024880010,024880,010,,,,,,,1,,1,5,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,1,0,0,0,8,8
24880020,024880020,024880,020,,,,,,,1,,1,5,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,1,0,0,0,8,8
24884020,024884020,024884,020,1,,,,2,,1,1,4,1,1,1,,1,5,,1,,4,1,1,1,,1,5,,1,2,4,1,1,1,,1,5,,6,2,1,1,8,13
24896010,024896010,024896,010,,1,,,,,1,,1,5,,1,1,4,1,1,1,,1,5,,0,,,,,0,,,,,0,,,,,3,1,1,0,8,10
24896040,024896040,024896,040,,1,,,,,0,,,,,1,1,4,1,1,0,,,,,0,,,,,0,,,,,0,,,,,1,1,1,0,9,9
24902010,024902010,024902,010,1,,1,,1,,1,1,4,1,1,1,,1,5,,1,1,4,1,1,1,,1,5,,1,1,4,1,1,1,,1,5,,6,3,3,0,8,13
24902020,024902020,024902,020,1,1,1,,1,,1,1,4,1,1,1,1,1,5,1,1,1,4,1,1,1,,1,5,,1,1,4,1,1,1,,1,5,,6,4,4,0,8,13
24902021,024902021,024902,021,1,,1,,1,,1,1,4,1,1,1,,1,5,,1,1,4,1,1,1,,1,5,,1,1,4,1,1,1,,1,5,,6,3,3,0,8,13
24948010,024948010,024948,010,,1,,1,,,1,,1,5,,1,1,4,1,1,1,,1,5,,1,1,4,1,1,0,,,,,0,,,,,4,2,2,0,8,11
24948040,024948040,024948,040,,1,,1,,,1,,1,5,,1,1,4,1,1,1,,1,5,,1,1,4,1,1,0,,,,,0,,,,,4,2,2,0,8,11
24956020,024956020,024956,020,,,,,,,1,,1,5,,1,,4,1,5,0,,,,,0,,,,,0,,,,,0,,,,,2,0,0,0,8,9
24956030,024956030,024956,030,,,,,,,1,,1,5,,1,,4,1,5,1,,1,5,,1,,4,1,5,0,,,,,0,,,,,4,0,0,0,8,11
24968010,024968010,024968,010,,1,,,,,1,,1,5,,1,1,4,1,1,1,,1,5,,1,,4,1,1,1,,1,5,,0,,,,,5,1,1,0,8,12
24977010,024977010,024977,010,1,,1,,1,,1,1,4,1,1,1,,1,5,,1,1,4,1,1,1,,1,5,,1,1,4,1,1,1,,1,5,,6,3,3,0,8,13
24977020,024977020,024977,020,1,,1,,1,,1,1,4,1,1,1,,1,5,,1,1,4,1,1,1,,1,5,,1,1,4,1,1,1,,1,5,,6,3,3,0,8,13
24978010,024978010,024978,010,1,,1,,1,,1,1,4,1,1,1,,1,5,,1,1,4,1,1,1,,1,5,,1,1,4,1,1,1,,1,5,,6,3,3,0,8,13
24978020,024978020,024978,020,1,,1,,1,,1,1,4,1,1,1,,1,5,,1,1,2,1,1,1,,1,5,,1,1,4,1,1,1,,1,5,,6,3,3,0,8,13
25029010,025029010,025029,010,,,,,,1,0,,,,,0,,,,,1,,1,5,,1,,4,1,1,1,,1,5,,1,1,4,1,1,4,1,1,0,10,13
25029040,025029040,025029,040,,,,1,,1,0,,,,,0,,,,,1,,1,5,,1,1,4,1,1,1,,1,5,,1,1,4,1,1,4,2,2,0,10,13
25043010,025043010,025043,010,,1,,1,,1,1,,1,5,,1,1,4,1,1,1,,1,5,,1,1,4,1,1,1,,1,5,,1,1,4,1,1,6,3,3,0,8,13
25043040,025043040,025043,040,,1,,,,1,1,,1,5,,1,1,4,1,1,1,,1,5,,1,,4,1,1,1,,1,5,,1,1,4,1,1,6,2,2,0,8,13
25081010,025081010,025081,010,1,,1,,1,,1,1,4,1,1,0,,,,,1,1,4,1,1,1,,1,5,,1,1,4,1,1,1,,1,5,,5,3,3,0,8,13
25081020,025081020,025081,020,1,,1,,1,,1,1,4,1,1,0,,,,,1,1,4,1,1,1,,1,5,,1,1,4,1,1,1,,1,5,,5,3,3,0,8,13
25087010,025087010,025087,010,,1,,1,,,1,,1,5,,1,1,4,1,1,1,,1,5,,1,1,4,1,1,0,,,,,0,,,,,4,2,2,0,8,11
25087011,025087011,025087,011,,1,,1,,,1,,1,5,,1,1,4,1,1,1,,1,5,,1,1,4,1,1,0,,,,,0,,,,,4,2,2,0,8,11
25092010,025092010,025092,010,,,,,,,1,,4,1,1,1,,1,5,,0,,,,,0,,,,,0,,,,,0,,,,,2,0,0,0,8,9
25097010,025097010,025097,010,,,,,,,1,,1,5,,1,3,4,1,4,1,,1,5,,1,3,4,1,4,0,,,,,0,,,,,4,0,0,0,8,11
25097040,025097040,025097,040,,1,,2,,,1,,1,5,,1,1,4,1,1,1,,1,5,,1,2,4,1,1,0,,,,,0,,,,,4,2,1,1,8,11
25102010,025102010,025102,010,,1,,1,,1,1,,1,5,,1,1,4,1,1,1,,1,5,,1,1,4,1,1,1,,1,5,,1,1,4,1,1,6,3,3,0,8,13
25102040,025102040,025102,040,,1,,1,,1,1,,1,5,,1,1,4,1,1,1,,1,5,,1,1,4,1,1,1,,1,5,,1,1,4,1,1,6,3,3,0,8,13
25104010,025104010,025104,010,1,,1,,1,,1,1,4,1,1,1,,1,5,,1,1,4,1,1,1,,1,5,,1,1,4,1,1,1,,1,5,,6,3,3,0,8,13
